𬺰	fgh
𬺱	fte
𬺲	mgf
𬺳	gvr
𬺴	nggf
𬺵	dnv
𬺶	ghnh
𬺷	dnte
𬺸	unv
𬺹	ndd
𬺺	kgnv
𬺻	dee
𬺼	sbn
𬺽	adnb
𬺾	gknv
𬺿	gkhy
𬻀	ftft
𬻁	ghff
𬻂	ajk
𬻃	dmjj
𬻄	sssj
𬻅	suy
𬻆	ndng
𬻇	gkjk
𬻈	nhnh
𬻉	gnft	ynft	gvhf	yvhf	gntf	yntf
𬻊	gdgh
𬻋	ftfw	ftfy
𬻌	gjhy
𬻍	gjht
𬻎	alkf
𬻏	xjhf
𬻐	gjsj
𬻑	qynq	qynq
𬻒	gnpn
𬻓	dxgh
𬻔	gmfy
𬻕	gulf
𬻖	sqcn
𬻗	sqvh
𬻘	nhyy	nqnq
𬻙	rtah
𬻚	khsj
𬻛	gifc
𬻜	dlff
𬻝	rlff
𬻞	mggg	mngg
𬻟	fkgo	dkoi	gkug
𬻠	gkkd
𬻡	rugh
𬻢	gouf
𬻣	spwt
𬻤	xasj
𬻥	ggnh
𬻦	gafd
𬻧	gkhg
𬻨	qtjh
𬻩	sveh
𬻪	fhtt
𬻫	gkhg
𬻬	ipkg
𬻭	tfca
𬻮	goqq
𬻯	tfcg
𬻰	ghsj
𬻱	mhlg
𬻲	nhvy
𬻳	khsh
𬻴	mfwc	vhwc
𬻵	qyvo
𬻶	iakh
𬻷	nhfy
𬻸	khjr
𬻹	whln
𬻺	ybj
𬻻	ygnv
𬻼	ncne
𬻽	ygnd
𬻾	ygwp
𬻿	yyu
𬼀	yte
𬼁	ynv
𬼂	nnll
𬼃	tvv
𬼄	ynv
𬼅	een
𬼆	qqu
𬼇	tawi
𬼈	tfbk
𬼉	tghv
𬼊	tmgu
𬼋	vfvt
𬼌	tgvi
𬼍	rfhh
𬼎	qntq	eytq
𬼏	qiqh
𬼐	wrdf
𬼑	qtff
𬼒	tuxw
𬼓	tgae
𬼔	tuhk
𬼕	tahm
𬼖	agd
𬼗	qnv
𬼘	kav
𬼙	fanv
𬼚	xnxn
𬼛	pnb
𬼜	qbb
𬼝	fcnb
𬼞	gvxe
𬼟	tknb
𬼠	tntn
𬼡	tuhn
𬼢	nnav
𬼣	vudi
𬼤	vknb
𬼥	gkin
𬼦	sfnb
𬼧	tmdn
𬼨	qkbn
𬼩	uabn
𬼪	crhn
𬼫	nunu
𬼬	nkkk
𬼭	ybbn
𬼮	labn
𬼯	thsn
𬼰	yqab
𬼱	igen
𬼲	jghn
𬼳	yssn
𬼴	xtah
